STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN;RS_01;RTH_01;RWH_01;RS_IND_01;eor
         20;201903010319;201903010319;    3;  0.00;  -999;  -999;-999;eor
         20;201903010320;201903010320;    3;  0.00;  -999;  -999;-999;eor
         20;201903010321;201903010321;    3;  0.03;  -999;  -999;-999;eor
         20;201903010322;201903010322;    3;  0.00;  -999;  -999;-999;eor
         20;201903010323;201903010323;    3;  0.00;  -999;  -999;-999;eor
         20;201903010324;201903010324;    3;  0.00;  -999;  -999;-999;eor
         20;201903010325;201903010325;    3;  0.00;  -999;  -999;-999;eor
         20;201903010326;201903010326;    3;  0.00;  -999;  -999;-999;eor
         20;201903010327;201903010327;    3;  0.00;  -999;  -999;-999;eor
         20;201903010328;201903010328;    3;  0.00;  -999;  -999;-999;eor
         20;201903010329;201903010329;    3;  0.00;  -999;  -999;-999;eor
         20;201903010330;201903010330;    3;  0.04;  -999;  -999;-999;eor
         20;201903010331;201903010331;    3;  0.01;  -999;  -999;-999;eor
         20;201903010332;201903010332;    3;  0.00;  -999;  -999;-999;eor
         20;201903010333;201903010333;    3;  0.00;  -999;  -999;-999;eor
         20;201903010334;201903010334;    3;  0.00;  -999;  -999;-999;eor
         20;201903010335;201903010335;    3;  0.00;  -999;  -999;-999;eor
         20;201903010336;201903010336;    3;  0.00;  -999;  -999;-999;eor
         20;201903010337;201903010337;    3;  0.00;  -999;  -999;-999;eor
         20;201903010338;201903010338;    3;  0.00;  -999;  -999;-999;eor
         20;201903010339;201903010339;    3;  0.00;  -999;  -999;-999;eor
         20;201903010340;201903010340;    3;  0.00;  -999;  -999;-999;eor
         20;201903010341;201903010341;    3;  0.00;  -999;  -999;-999;eor
         20;201903010342;201903010342;    3;  0.00;  -999;  -999;-999;eor
         20;201903010343;201903010343;    3;  0.00;  -999;  -999;-999;eor
         20;201903010344;201903010344;    3;  0.00;  -999;  -999;-999;eor
         20;201903010345;201903010345;    3;  0.00;  -999;  -999;-999;eor
         20;201903010346;201903010346;    3;  0.00;  -999;  -999;-999;eor
         20;201903010347;201903010347;    3;  0.00;  -999;  -999;-999;eor
         20;201903010348;201903010348;    3;  0.00;  -999;  -999;-999;eor
         20;201903010349;201903010349;    3;  0.00;  -999;  -999;-999;eor
         20;201903010350;201903010350;    3;  0.00;  -999;  -999;-999;eor
         20;201903010351;201903010351;    3;  0.00;  -999;  -999;-999;eor
         20;201903010352;201903010352;    3;  0.00;  -999;  -999;-999;eor
         20;201903010353;201903010353;    3;  0.00;  -999;  -999;-999;eor
         20;201903010354;201903010354;    3;  0.00;  -999;  -999;-999;eor
         20;201903010355;201903010355;    3;  0.00;  -999;  -999;-999;eor
         20;201903010356;201903010356;    3;  0.00;  -999;  -999;-999;eor
         20;201903010357;201903010357;    3;  0.00;  -999;  -999;-999;eor
         20;201903010358;201903010358;    3;  0.00;  -999;  -999;-999;eor
         20;201903010359;201903010359;    3;  0.00;  -999;  -999;-999;eor
         20;201903010400;201903010400;    3;  0.00;  -999;  -999;-999;eor
         20;201903010401;201903010401;    3;  0.00;  -999;  -999;-999;eor
         20;201903010402;201903010402;    3;  0.00;  -999;  -999;-999;eor
         20;201903010403;201903010403;    3;  0.00;  -999;  -999;-999;eor
         20;201903010404;201903010404;    3;  0.00;  -999;  -999;-999;eor
         20;201903010405;201903010405;    3;  0.00;  -999;  -999;-999;eor
         20;201903010406;201903010406;    3;  0.00;  -999;  -999;-999;eor
         20;201903010407;201903010407;    3;  0.00;  -999;  -999;-999;eor
         20;201903010408;201903010408;    3;  0.00;  -999;  -999;-999;eor
         20;201903010409;201903010409;    3;  0.00;  -999;  -999;-999;eor
         20;201903010410;201903010410;    3;  0.00;  -999;  -999;-999;eor
